asset,beta_bri,year,br,compounded_xret,rank_beta,rank_br,ch4mkt_beta,ch4smb_beta,ch4vmg_beta,ch4pmo_beta,soe
628,-0.011211931,2017,1.21E-05,0.232502197,-0.836787565,-0.440414508,0.958070807,1.539550942,0.763030976,0.415581032,1
628,-0.020003491,2018,1.22E-05,-0.197731569,-0.531862745,-0.301470588,0.959651959,1.273591766,0.383366032,0.070976879,1
628,-0.020197508,2019,1.08E-05,-0.046567485,-0.362980769,-0.387019231,0.89646977,0.530920131,-0.142818428,0.439487902,1
630,-0.010178547,2018,1.02E-05,-0.223452394,-0.333333333,-0.656862745,0.850376688,0.309485211,-0.294668088,0.051123621,1
632,0.076273514,2016,1.43E-05,-0.067405924,0.780290792,-0.192245557,0.89628042,1.497255589,0.230139367,0.089134915,1
651,0.014020782,2018,1.81E-05,0.064275579,0.321078431,-0.007352941,1.203023183,-0.600380332,0.450352021,-0.112189403,1
652,0.008856205,2016,2.96E-05,-0.413523496,0.053311793,0.444264943,1.18758349,0.75395147,-0.981404277,-0.305701665,1
657,0.079190263,2016,1.69E-05,-0.185429603,0.79644588,-0.04361874,1.472066532,1.12101847,0.585816755,0.525029944,1
659,0.027080429,2019,1.06E-05,0.441362042,0.483173077,-0.420673077,0.760484325,1.6579758,0.433848023,0.242558537,0
665,-0.043944392,2016,5.22E-05,-0.288203868,-0.634894992,0.767366721,0.990744375,0.863554302,0.0313681,0.101419218,1
665,0.002418618,2017,2.20E-05,-0.060247014,0.215025907,0.069948187,1.102431367,1.212433031,0.199159968,0.328328332,1
668,0.00292712,2017,1.40E-05,0.460466863,0.284974093,-0.233160622,1.056027351,0.557880651,-0.102398598,0.284610872,0
668,0.047980929,2018,1.40E-05,0.158201796,0.833333333,-0.154411765,1.063786195,1.154376709,-0.112379205,0.017331483,0
672,-0.060058401,2016,2.61E-05,-0.0073813,-0.773828756,0.350565428,0.73979403,-0.022526858,-1.656627752,-0.697803905,0
672,-0.013397744,2017,0.000114742,0.387605013,-0.867875648,0.955958549,1.910689851,1.878930748,2.373458248,0.205074047,0
672,-0.034578487,2018,4.79E-05,0.961340189,-0.725490196,0.730392157,1.192189398,0.458615542,1.055420781,-0.112119524,0
672,-0.000990973,2019,0.000133611,-0.240530007,0.03125,0.985576923,1.543948536,0.685006455,1.603699786,-0.350130174,0
677,-0.000147949,2017,1.65E-05,-0.165438365,-0.111398964,-0.147668394,0.821383635,1.188139225,-0.26078147,-0.035348319,0
678,-0.000269958,2017,1.76E-05,0.334515965,-0.126943005,-0.111398964,0.784813476,0.892626219,-0.198321074,0.414999831,1
680,0.035994964,2016,8.54E-05,-0.378576991,0.476575121,0.925686591,1.448788716,1.3430058,0.158355529,-0.317607072,1
680,0.021059917,2017,8.21E-05,0.185696597,0.935233161,0.893782383,1.225790375,1.147966024,0.279924897,0.121613769,1
680,0.015116101,2018,9.18E-05,-0.180021536,0.352941176,0.963235294,1.236941717,1.197240688,0.613662842,-0.560896119,1
680,0.094100971,2019,9.58E-05,0.122673689,0.935096154,0.963942308,1.306405728,1.200953676,0.926770227,0.115179275,1
681,-0.006426137,2017,6.00E-05,-0.335204483,-0.683937824,0.79015544,1.13806614,-0.219782033,-1.499358241,-0.546158412,0
681,0.017096597,2018,4.01E-05,-0.051582489,0.406862745,0.62745098,1.179188135,-0.302392529,-1.245786385,0.524829647,0
681,-0.018851464,2019,9.63E-06,-0.314221279,-0.341346154,-0.605769231,0.95014017,-0.009665667,0.101533273,-0.777116269,0
685,-0.000556078,2017,9.37E-06,0.086066799,-0.176165803,-0.82642487,1.000271795,0.434842985,0.120126463,0.214099554,1
690,-0.005574631,2019,9.51E-06,0.11869248,-0.072115385,-0.637019231,0.797771047,0.616986613,0.241637972,0.532925564,0
700,0.015106515,2019,1.04E-05,-0.257294498,0.314903846,-0.466346154,1.101851665,-0.363562603,-1.273684815,-0.648457638,0
701,-0.013492008,2016,8.63E-06,-0.448493952,-0.243941842,-0.922455574,1.059241419,0.797976935,-0.374966703,0.083648213,1
701,-0.02806391,2018,7.34E-06,-0.249550077,-0.649509804,-0.960784314,1.111171426,1.209154204,-0.115742468,0.04900356,1
703,-0.01618948,2016,1.08E-05,0.457012197,-0.285945073,-0.673667205,1.014180626,-0.196814034,-0.465827106,-0.181614355,0
703,-0.012476597,2017,5.30E-05,-0.074565351,-0.857512953,0.727979275,1.282139164,0.358249393,0.715568711,-0.084566702,0
703,-0.069786166,2018,5.64E-05,-0.115338817,-0.941176471,0.806372549,1.164626874,-0.009296129,0.289481751,-0.248117761,0
703,0.063054063,2019,6.00E-05,0.289104169,0.817307692,0.875,0.842120173,0.139791602,0.399654933,0.458140265,0
708,0.001700975,2017,1.87E-05,0.458907843,0.129533679,-0.069948187,1.263191684,1.506776827,1.0633278,0.06322737,1
708,-0.05704033,2019,1.54E-05,0.234031823,-0.824519231,-0.060096154,1.003144334,0.511238065,0.68234154,-0.748452272,1
