asset,beta_bri,year,br,compounded_xret,compounded_xret_beta,rank_beta,rank_br,compounded_xret_2014,ch4mkt_beta,ch4smb_beta,ch4vmg_beta,ch4pmo_beta,lag_me
600021,-0.007366881,2017,1.61e-05,0.319679114,-0.437632191,-0.722797927,-0.158031088,-0.247776965,0.619476446,0.2296274,-0.161846303,0.372561282,24999286.986666646
600023,-0.003566075,2017,1.16e-05,0.005953312,-0.159399113,-0.46373057,-0.528497409,0.007794727,0.448446746,0.129593535,0.280630074,-0.044396912,75087142.64166668
600026,0.002138966,2017,2.79e-05,0.53173006,-0.351710138,0.186528497,0.292746114,-0.088610258,1.180032606,0.494597183,0.170526852,0.148184856,18126217.70250001
600028,-0.002247964,2017,1.25e-05,-0.108205178,0.1959927,-0.370466321,-0.386010363,0.167244629,0.763383532,-0.75544686,0.309553069,0.113874828,570559524.6199998
600029,0.006030609,2017,4.22e-05,-0.088500238,-0.031312242,0.580310881,0.626943005,0.694722788,1.191540713,-0.895124185,0.326988456,-0.038548666,61395517.62499991
600031,-0.002139037,2017,6.78e-05,0.462431791,0.091078623,-0.357512953,0.844559585,0.470918856,1.152845656,-0.086073156,0.677688931,-0.210325148,59300902.05333326
600035,0.003657398,2017,9.63e-06,0.116363882,-0.429519755,0.362694301,-0.803108808,-0.151815903,0.64266764,0.360120072,-0.349196392,-0.033259403,8135282.756666669
600038,-0.0115049,2017,2.7e-05,0.016518592,-0.13949063,-0.844559585,0.272020725,-0.048593035,0.853099025,-0.627998662,-2.246347412,0.135266889,27171929.22500002
600039,0.001460949,2017,5.09e-05,0.110702058,-0.223519378,0.093264249,0.702072539,-0.144013585,0.777626742,0.939808289,0.48311709,0.044021645,13606412.13166668
600056,-0.016621565,2017,9.15e-06,-0.249110485,-0.293987068,-0.886010363,-0.847150259,0.302588076,1.067496129,-0.225777538,-0.278571206,0.138222518,24606714.609166656
600057,0.002023636,2017,1.76e-05,-0.097487887,-0.229464998,0.168393782,-0.111398964,-0.262106986,1.127746147,0.228421437,-0.331767492,0.31434219,11663688.647499988
600075,0.005244982,2017,3.83e-05,-0.179460891,-0.260782334,0.525906736,0.559585492,-0.131656418,1.182889133,1.721960452,1.094034847,0.210951476,6416563.36
600076,0.009218788,2017,3.65e-05,-0.076628807,-0.458467587,0.722797927,0.507772021,-0.226052003,0.769613131,0.814272037,-0.307384165,0.529417902,7039718.687500001
600085,-0.007001628,2017,3.22e-05,-0.183892344,0.001509823,-0.704663212,0.411917098,0.019643273,0.61937005,-0.638715431,-0.580405116,-0.341007231,44181914.49000004
600089,0.008083234,2017,3.66e-05,0.0638957,-0.339462157,0.676165803,0.515544041,0.130334143,1.068216874,0.348270028,-0.034447823,0.049498473,35670524.70416669
600096,-0.002374497,2017,2.27e-05,0.165111331,-0.329422294,-0.383419689,0.090673575,-0.25706694,1.113441444,0.875639823,-0.051070479,-0.260135128,9163126.966666672
600098,-0.008072802,2017,9.09e-06,-0.028656822,-0.19692843,-0.74611399,-0.852331606,-0.371454237,0.829086613,0.010515741,-0.424017706,0.472650238,22563820.178333327
600104,0.000528897,2017,9.21e-06,-0.242214876,0.110272584,-0.025906736,-0.839378238,0.422766936,0.597689005,-0.780632967,0.051365298,-0.079734948,320990996.45833397
600105,-0.007814899,2017,0.000127171,0.304705836,-0.413131836,-0.738341969,0.968911917,-0.370883081,1.229035701,0.827912661,-0.56349959,0.187125642,6452101.853333336
600111,0.001536935,2017,1.01e-05,0.115728296,-0.007637727,0.098445596,-0.759067358,0.172540295,1.484890021,0.39157193,-0.409103675,0.303696049,50650995.149999954
600115,0.003438873,2017,3.78e-05,-0.059165848,-0.034073211,0.352331606,0.551813472,0.152422261,1.003196845,-0.525914574,0.249666936,0.124425716,64167604.69999998
600116,0.002784824,2017,1.04e-05,0.212276843,-0.413382162,0.259067358,-0.712435233,-0.06656568,0.886182247,0.907866435,-0.063623156,0.47606056,8934075.354166673
600118,-0.004941909,2017,3.55e-05,0.175335667,-0.324485636,-0.619170984,0.487046632,-0.200748769,1.083018474,0.092016677,-1.153560883,0.365319231,33808349.777499974
600125,0.018770976,2017,2.73e-05,-0.227552962,-0.070981932,0.914507772,0.279792746,0.32879617,1.402389096,0.890077962,0.428667479,0.405426603,13545877.378333347
600129,0.005154616,2017,1.71e-05,-0.231063518,0.016484866,0.512953368,-0.134715026,-0.041012902,1.134951458,0.188278855,-0.56991652,-0.16923989,6726782.204999995
600138,-0.001536981,2017,1.39e-05,-0.362809129,-0.063296641,-0.295336788,-0.248704663,-0.014856991,1.017529842,-0.215699643,-0.353785085,0.198103199,14920507.400833344
600153,-0.001260438,2017,2.73e-05,0.053359975,-0.293966799,-0.269430052,0.279792746,0.055835641,1.314376786,0.397474667,0.749321978,0.527076058,33410475.578333303
600157,0.001161583,2017,8.33e-06,-0.065789819,-0.505373423,0.054404145,-0.948186528,-0.171208775,0.825615491,0.827849035,0.539461895,-0.40186095,19852437.47000004
600161,-0.009710508,2017,2.18e-05,0.546132935,-0.356227654,-0.792746114,0.049222798,-0.0551722,0.980885887,0.192929179,-0.806274477,-0.051597753,22366221.942222223
600166,-0.00732878,2017,2.81e-05,0.153098168,-0.289757311,-0.71761658,0.303108808,-0.096141987,0.808111343,0.621267222,-0.134088541,0.046851805,20304991.335000027
600169,0.002128688,2017,3.39e-05,0.124134203,-0.403191422,0.183937824,0.458549223,-0.154437725,1.025500866,0.77663798,0.042845537,0.396354736,9627108.691666668
600170,0.001773066,2017,2.42e-05,0.218703021,-0.183771966,0.134715026,0.170984456,-0.051245058,0.669073364,0.057046623,0.121863194,0.089693131,32316712.175
600172,0.000134945,2017,2.27e-05,-0.269531506,-0.481029217,-0.085492228,0.090673575,-0.127524948,1.044501452,0.409397701,-0.996318251,0.61342323,10250953.249166673
600176,-0.00554542,2017,3.74e-05,-0.060675228,0.120041066,-0.639896373,0.541450777,1.001952743,1.917665136,0.011673519,0.518887849,-0.30256123,32260948.253333356
600179,-7.49e-05,2017,5.97e-05,-0.54978651,-0.19651819,-0.098445596,0.787564767,0.627472536,0.934221577,0.820195435,0.531147185,0.270466878,8426910.417500002
600180,0.007699091,2017,9.47e-06,-0.200279161,-0.312957658,0.655440415,-0.816062176,-0.239374991,1.199708586,1.420609656,0.320392698,0.106378502,11575364.189166663
600183,-0.000870246,2017,1.15e-05,0.663471798,0.094917347,-0.21761658,-0.544041451,0.592719329,1.490219408,0.439999307,-0.544433116,-0.390161018,19909206.969166648
600185,0.007233627,2017,1.06e-05,-0.05291659,-0.210021527,0.629533679,-0.689119171,-0.034064431,1.287984439,0.81273132,0.550086935,0.32208431,11000956.272500003
600190,0.020766322,2017,2.08e-05,0.106461097,-0.283328702,0.92746114,0.002590674,-0.015165456,0.931640516,0.569145933,-0.108145368,0.324762401,7872736.1416666685
600220,0.00193825,2017,1.28e-05,0.133280209,-0.391504124,0.158031088,-0.347150259,-0.305759797,0.985588499,0.938309192,0.097532547,0.451030683,6485414.319166669
600231,-0.000298972,2017,1.03e-05,-0.08958928,0.173110387,-0.129533679,-0.730569948,0.86566725,1.368288098,1.742531708,1.347886183,-0.369009891,7009559.180833333
600233,0.005520353,2017,6.59e-05,-0.068477389,-0.33194771,0.551813472,0.834196891,-0.348159971,0.986125723,0.787411567,-0.104624358,0.089557593,9913733.545833334
600256,0.004151051,2017,2.63e-05,-0.117977997,0.080637898,0.435233161,0.25388601,0.075247318,1.213048137,0.929308991,0.397484143,-0.017327269,22961215.04833332
600259,0.009398662,2017,9.87e-06,0.3561614,-0.261504702,0.727979275,-0.769430052,-0.089257363,1.182163576,0.860264551,-0.234565505,0.143980573,11115734.270833336
600266,-0.020755067,2017,8.81e-06,0.038781502,-0.331194366,-0.919689119,-0.898963731,-0.009284715,1.121973705,-0.128949383,-0.251041937,0.719082675,22110186.733333346
600269,-0.00158816,2017,1.22e-05,0.139490165,-0.226901535,-0.297927461,-0.422279793,0.032435831,0.817009395,0.385922051,0.290583049,0.183055953,12445773.210833335
600273,-0.000916552,2017,2.69e-05,0.28796562,-0.020055716,-0.222797927,0.266839378,-0.002255286,0.484545148,1.034089456,0.59514165,0.013645019,6688755.028000002
600276,-0.004888442,2017,1.49e-05,0.03268298,0.92191642,-0.60880829,-0.194300518,0.797511468,0.926551626,-0.892231513,-1.125709929,-0.752522382,149844486.79749987
600282,0.004212612,2017,1.02e-05,-0.153317055,0.186283112,0.440414508,-0.75388601,0.538628302,1.746586881,1.958333136,2.12184181,-0.271558501,17169583.385000005
600292,-0.002086359,2017,1.21e-05,0.093764687,-0.458797712,-0.352331606,-0.440414508,-0.283728536,1.167343358,1.157782228,-0.072432628,0.525029478,8413952.670000004
