Stkcd,Trdmnt,beta_bri
19,201704,75.13786141579858
19,201705,24.35786327776147
19,201706,22.96561519394895
19,201707,24.91257412784485
19,201708,24.066493224849225
19,201709,26.125057696880745
19,201710,25.95654962300185
19,201711,25.29849475980504
19,201712,26.18461228904846
19,201801,24.48816293020018
19,201802,25.428372663221158
19,201803,25.981091578418948
19,201804,25.65264325870061
19,201805,160.91965675461
19,201806,-5.5613522483809135
19,201807,-91.02103524574152
19,201808,-105.92670477842182
19,201809,-79.5155912569156
19,201810,-68.58877303118717
19,201811,-56.26560282933647
19,201812,-57.34073937137581
19,201901,-59.871964544639184
19,201902,-56.32555437470302
19,201903,-48.20561897894905
19,201904,-29.328824218146423
19,201905,-22.7636250696684
19,201906,31.03969076654745
19,201907,26.046005565541076
19,201908,16.97908263913964
19,201909,13.024065130222985
19,201910,-6.546455514699844
19,201911,-6.473473370521589
19,201912,-5.636035134055248
19,202001,-7.526819210037459
19,202002,-1.018300903049152
19,202003,-1.6198228230108145
19,202004,90.33577127434606
19,202005,29.775946015225344
19,202006,14.079021992820344
19,202007,30.640786679565792
19,202008,12.25266747052899
19,202009,20.576372841981996
19,202010,104.47942116778324
19,202011,118.18256650888122
19,202012,148.99148852603548
19,202101,174.29839529973128
19,202102,154.81865299086093
19,202103,118.69174902008712
19,202104,-51.02784697415194
19,202105,50.00669371297626
19,202106,30.19359627105433
19,202107,52.78919427125123
19,202108,153.59383463590598
19,202109,158.42532505293647
19,202110,154.01194107218322
19,202111,124.339846914915
20,201512,252.2459057709371
20,201601,113.81309915473793
20,201602,144.92305226152524
20,201603,47.655950703849925
20,201604,58.42169192528642
20,201605,92.7428700872361
20,201606,41.49393188340324
20,201607,20.90893803328969
20,201608,29.80958707253632
20,201609,4.248597647257171
20,201610,-9.859618480748992
20,201611,-35.82756419991997
20,201612,-70.85563489093519
20,201701,80.64385483287879
20,201702,28.36223208819433
20,201703,70.87182016551841
20,201704,46.878116258686894
20,201705,22.093395234819937
20,201706,20.368426042378488
20,201707,19.78480652139633
20,201708,19.26782571061047
20,201709,19.73054007727785
20,201710,19.034103189140687
20,201711,17.45371329953145
20,201712,18.427411667029048
20,201801,19.713370988229897
20,201802,20.342368457137603
20,201803,19.056098134849343
20,201804,21.17954729894622
20,201805,31.454552542561597
20,201806,15.43507624863068
20,201807,7.973513468692204
20,201808,16.24797315279666
20,201809,15.78762475085901
20,201810,0.781935055178721
20,201811,24.809563615338654
20,201812,21.215831715208537
20,201901,28.8534213201127
20,201902,36.35346416922873
20,201903,19.48799854717484
20,201904,-20.716696645539898
20,201905,-55.38010313466516
20,201906,-51.11569993407039
20,201907,-54.6321984593167
20,201908,-74.50763617237268
20,201909,-84.98803812950702
20,201910,-27.3301763464346
20,201911,-26.812931037260043
20,201912,-24.442542931294877
20,202001,-22.9213456131653
20,202002,-24.10375012352526
20,202003,-42.07076837293474
20,202004,16.736201008064715
20,202005,-8.381890828510777
20,202006,-2.201091424545041
20,202007,27.00834395888444
20,202008,84.48204038274092
20,202009,130.4139229816157
20,202010,-12.901309100866484
20,202011,-38.32926199188581
20,202012,4.360275247268376
20,202101,-36.44240560736844
20,202102,-33.775239051335745
20,202103,-57.7659289067707
20,202104,8.873631211934502
20,202105,102.23441985996516
20,202106,114.58112697875956
20,202107,97.50840963087968
20,202108,64.31732819126876
20,202109,92.18494317601971
20,202110,37.86503723710746
20,202111,90.0233541849187
21,201512,32.270365652933975
21,201601,46.10023553107476
21,201602,46.98338948270427
21,201603,-11.007571985033003
21,201604,-14.65358414173049
21,201605,-3.6089666014598265
21,201606,-21.48631273235631
21,201607,-22.17107850065986
21,201608,-36.604195461674095
21,201609,-27.91701117826919
21,201610,-27.53727408911987
21,201611,-10.821727501604505
21,201612,-7.708713929696188
21,201701,-39.14900818249579
21,201702,-31.209521833918423
21,201703,1.1828804737686625
21,201704,1.2723170760988864
21,201705,4.348153814436028
21,201706,4.425118852098899
21,201707,3.9447274534274
21,201708,4.650075378087856
21,201709,4.975220553905656
21,201710,4.745402275641464
21,201711,4.430013672309858
21,201712,4.41262224882832
21,201801,2.1029400025634324
21,201802,2.356333581966089
21,201803,3.494169600882622
21,201804,4.6012694559447525
21,201805,6.755333048803919
21,201806,10.13928159099973
21,201807,13.575271985580711
21,201808,5.951140368672014
21,201809,-6.680170655763945
21,201810,-7.083607465833524
